LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1715671306.825595,2649731.000,40843,2,AK,1,100,RD
1715671306.840271,2649745.000,40846,2,AK,1,100,40844
1715671306.854947,2649759.000,40846,2,AK,1,100,RD
1715671309.524396,2652305.500,41692,2,AK,1,100,41690
1715671312.193846,2654852.000,41692,2,AK,1,100,RD
1715671314.880068,2657414.500,42513,2,AK,1,100,41690
1715671317.566290,2659977.000,42513,2,AK,1,100,RD
1715671317.579394,2659989.500,42516,2,AK,1,100,42514
1715671317.592498,2660002.000,42516,2,AK,1,100,RD
1715671320.256706,2662543.500,43359,2,AK,1,100,42514
1715671322.920914,2665085.000,43359,2,AK,1,100,RD
1715671322.936114,2665099.500,43362,2,AK,1,100,43360
1715671322.951314,2665114.000,43362,2,AK,1,100,RD
1715671325.620764,2667660.500,44208,2,AK,1,100,43360
1715671328.290214,2670207.000,44208,2,AK,1,100,RD
1715671328.304889,2670221.000,44211,2,AK,1,100,44209
1715671328.319566,2670235.000,44211,2,AK,1,100,RD
1715671330.982725,2672775.500,45058,2,AK,1,100,44209
1715671333.645885,2675316.000,45058,2,AK,1,100,RD
1715671333.663182,2675332.500,45061,2,AK,1,100,45059
1715671333.680479,2675349.000,45061,2,AK,1,100,RD
1715671336.353073,2677898.500,45908,2,AK,1,100,45059
1715671339.025668,2680448.000,45908,2,AK,1,100,RD
1715671339.040868,2680462.500,45911,2,AK,1,100,45909
1715671339.056068,2680477.000,45911,2,AK,1,100,RD
1715671341.718704,2683017.000,46755,2,AK,1,100,45909
1715671344.381340,2685557.000,46755,2,AK,1,100,RD
1715671347.059175,2688111.500,47538,2,AK,1,100,46756
1715671349.737011,2690666.000,47538,2,AK,1,100,RD
1715671349.752736,2690681.000,47541,2,AK,1,100,47539
1715671349.768460,2690696.000,47541,2,AK,1,100,RD
1715671352.490324,2693292.500,48372,2,AK,1,100,47539
1715671355.212188,2695889.000,48372,2,AK,1,100,RD
1715671355.241539,2695917.000,48375,2,AK,1,100,48373
1715671355.270891,2695945.000,48375,2,AK,1,100,RD
1715671357.956065,2698506.500,49068,2,AK,1,100,48373
1715671360.641239,2701068.000,49068,2,AK,1,100,RD
1715671360.655391,2701081.500,49071,2,AK,1,100,49069
1715671360.669543,2701095.000,49071,2,AK,1,100,RD
1715671363.336896,2703639.500,49913,2,AK,1,100,49069
1715671366.004249,2706184.000,49913,2,AK,1,100,RD
1715671366.018925,2706198.000,49916,2,AK,1,100,49914
1715671366.033601,2706212.000,49916,2,AK,1,100,RD
1715671368.739740,2708793.500,50764,2,AK,1,100,50762
1715671371.445880,2711375.000,50764,2,AK,1,100,RD
1715671374.130005,2713935.500,51611,2,AK,1,100,50762
1715671376.814131,2716496.000,51611,2,AK,1,100,RD
1715671376.847152,2716527.500,51614,2,AK,1,100,51612
1715671376.880173,2716559.000,51614,2,AK,1,100,RD
1715671379.534422,2719091.000,52415,2,AK,1,100,51612
1715671382.188672,2721623.000,52415,2,AK,1,100,RD
1715671382.203348,2721637.000,52418,2,AK,1,100,52416
1715671382.218024,2721651.000,52418,2,AK,1,100,RD
1715671384.903722,2724213.000,53251,2,AK,1,100,53249
1715671387.589420,2726775.000,53251,2,AK,1,100,RD
1715671390.320194,2729380.000,53969,2,AK,1,100,53249
1715671393.050968,2731985.000,53969,2,AK,1,100,RD
1715671393.065644,2731999.000,53972,2,AK,1,100,53970
1715671393.080320,2732013.000,53972,2,AK,1,100,RD
1715671395.751866,2734561.500,54804,2,AK,1,100,53970
1715671398.423413,2737110.000,54804,2,AK,1,100,RD
1715671398.457482,2737142.500,54807,2,AK,1,100,54805
1715671398.491551,2737175.000,54807,2,AK,1,100,RD
1715671401.135318,2739697.000,55646,2,AK,1,100,54805
1715671403.779084,2742219.000,55646,2,AK,1,100,RD
1715671403.792188,2742231.500,55649,2,AK,1,100,55647
1715671403.805291,2742244.000,55649,2,AK,1,100,RD
1715671406.501472,2744816.000,56498,2,AK,1,100,55647
1715671409.197653,2747388.000,56498,2,AK,1,100,RD
1715671411.894882,2749961.000,57330,2,AK,1,100,56499
1715671414.592111,2752534.000,57330,2,AK,1,100,RD
1715671414.620939,2752561.500,57333,2,AK,1,100,57331
1715671414.649767,2752589.000,57333,2,AK,1,100,RD
1715671417.315023,2755131.500,58177,2,AK,1,100,57331
1715671419.980280,2757674.000,58177,2,AK,1,100,RD
1715671419.993908,2757687.000,58180,2,AK,1,100,58178
1715671420.007535,2757700.000,58180,2,AK,1,100,RD
1715671422.709482,2760277.500,59031,2,AK,1,100,59029
1715671425.411428,2762855.000,59031,2,AK,1,100,RD
1715671428.060961,2765382.500,59875,2,AK,1,100,59029
1715671430.710493,2767910.000,59875,2,AK,1,100,RD
1715671430.723072,2767922.000,59878,2,AK,1,100,59876
1715671430.735651,2767934.000,59878,2,AK,1,100,RD
1715671433.412439,2770487.500,60725,2,AK,1,100,60723
1715671436.089227,2773041.000,60725,2,AK,1,100,RD
1715671438.770732,2775599.000,61570,2,AK,1,100,60723
1715671441.452237,2778157.000,61570,2,AK,1,100,RD
1715671441.473727,2778177.500,61573,2,AK,1,100,61571
