LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1715671236.877942,2583005.000,29879,2,RD,1,100,TU
1715671239.556302,2585560.000,30744,2,RD,1,100,TL
1715671242.234662,2588115.000,30744,2,RD,1,100,TU
1715671244.916167,2590673.000,31586,2,RD,1,100,TL
1715671247.597672,2593231.000,31586,2,RD,1,100,TU
1715671250.296998,2595806.000,32419,2,RD,1,100,TL
1715671252.996323,2598381.000,32419,2,RD,1,100,TU
1715671255.725525,2600984.500,33268,2,RD,1,100,TL
1715671258.454727,2603588.000,33268,2,RD,1,100,TU
1715671261.111073,2606122.000,34100,2,RD,1,100,TL
1715671263.767419,2608656.000,34100,2,RD,1,100,TU
1715671266.466745,2611231.000,34947,2,RD,1,100,TL
1715671269.166070,2613806.000,34947,2,RD,1,100,TU
1715671271.876927,2616392.000,35798,2,RD,1,100,TL
1715671274.587784,2618978.000,35798,2,RD,1,100,TU
1715671277.259330,2621526.500,36642,2,RD,1,100,TL
1715671279.930876,2624075.000,36642,2,RD,1,100,TU
1715671282.624437,2626644.500,37471,2,RD,1,100,TL
1715671285.317997,2629214.000,37471,2,RD,1,100,TU
1715671288.024136,2631795.500,38325,2,RD,1,100,TL
1715671290.730276,2634377.000,38325,2,RD,1,100,TU
1715671293.397105,2636921.000,39165,2,RD,1,100,TL
1715671296.063934,2639465.000,39165,2,RD,1,100,TU
1715671298.761687,2642038.500,39999,2,RD,1,100,TL
1715671301.459440,2644612.000,39999,2,RD,1,100,TU
1715671304.143042,2647172.000,40844,2,RD,1,100,TL
1715671306.826643,2649732.000,40844,2,RD,1,100,TU
1715671309.495569,2652278.000,41690,2,RD,1,100,TL
1715671312.164494,2654824.000,41690,2,RD,1,100,TU
1715671314.865392,2657400.500,42514,2,RD,1,100,TL
1715671317.566290,2659977.000,42514,2,RD,1,100,TU
1715671320.243602,2662531.000,43360,2,RD,1,100,TL
1715671322.920914,2665085.000,43360,2,RD,1,100,TU
1715671325.605564,2667646.000,44209,2,RD,1,100,TL
1715671328.290214,2670207.000,44209,2,RD,1,100,TU
1715671330.968050,2672761.500,45059,2,RD,1,100,TL
1715671333.645885,2675316.000,45059,2,RD,1,100,TU
1715671336.336301,2677882.500,45909,2,RD,1,100,TL
1715671339.026716,2680449.000,45909,2,RD,1,100,TU
1715671341.704028,2683003.000,46756,2,RD,1,100,TL
1715671344.381340,2685557.000,46756,2,RD,1,100,TU
1715671347.059175,2688111.500,47539,2,RD,1,100,TL
1715671349.737011,2690666.000,47539,2,RD,1,100,TU
1715671352.475124,2693278.000,48373,2,RD,1,100,TL
1715671355.213236,2695890.000,48373,2,RD,1,100,TU
1715671357.927237,2698479.000,49069,2,RD,1,100,TL
1715671360.641239,2701068.000,49069,2,RD,1,100,TU
1715671363.322744,2703626.000,49914,2,RD,1,100,TL
1715671366.004249,2706184.000,49914,2,RD,1,100,TU
1715671368.706719,2708762.000,50762,2,RD,1,100,TL
1715671371.409190,2711340.000,50762,2,RD,1,100,TU
1715671374.111660,2713918.000,51612,2,RD,1,100,TL
1715671376.814131,2716496.000,51612,2,RD,1,100,TU
1715671379.501926,2719060.000,52416,2,RD,1,100,TL
1715671382.189720,2721624.000,52416,2,RD,1,100,TU
1715671384.876991,2724187.500,53249,2,RD,1,100,TL
1715671387.564261,2726751.000,53249,2,RD,1,100,TU
1715671390.307615,2729368.000,53970,2,RD,1,100,TL
1715671393.050968,2731985.000,53970,2,RD,1,100,TU
1715671395.737190,2734547.500,54805,2,RD,1,100,TL
1715671398.423413,2737110.000,54805,2,RD,1,100,TU
1715671401.101249,2739664.500,55647,2,RD,1,100,TL
1715671403.779084,2742219.000,55647,2,RD,1,100,TU
1715671406.488369,2744803.500,56499,2,RD,1,100,TL
1715671409.197653,2747388.000,56499,2,RD,1,100,TU
1715671411.894882,2749961.000,57331,2,RD,1,100,TL
1715671414.592111,2752534.000,57331,2,RD,1,100,TU
1715671417.286720,2755104.500,58178,2,RD,1,100,TL
1715671419.981328,2757675.000,58178,2,RD,1,100,TU
1715671422.659688,2760230.000,59029,2,RD,1,100,TL
1715671425.338048,2762785.000,59029,2,RD,1,100,TU
1715671428.024271,2765347.500,59876,2,RD,1,100,TL
1715671430.710493,2767910.000,59876,2,RD,1,100,TU
1715671433.387280,2770463.500,60723,2,RD,1,100,TL
1715671436.064068,2773017.000,60723,2,RD,1,100,TU
1715671438.758152,2775587.000,61571,2,RD,1,100,TL
1715671441.452237,2778157.000,61571,2,RD,1,100,TU
1715671444.118017,2780700.000,62397,2,RD,1,100,TL
1715671446.783798,2783243.000,62397,2,RD,1,100,TU
1715671449.466875,2785802.500,63244,2,RD,1,100,TL
1715671452.149953,2788362.000,63244,2,RD,1,100,TU
1715671454.839844,2790928.000,64093,2,RD,1,100,TL
1715671457.529735,2793494.000,64093,2,RD,1,100,TU
1715671460.211764,2796052.500,64927,2,RD,1,100,TL
1715671462.893793,2798611.000,64927,2,RD,1,100,TU
1715671465.564815,2801159.000,234,2,RD,1,100,TL
1715671468.235837,2803707.000,234,2,RD,1,100,TU
1715671470.918391,2806266.000,1100,2,RD,1,100,TL
1715671473.600944,2808825.000,1100,2,RD,1,100,TU
1715671476.278780,2811379.500,1941,2,RD,1,100,TL
1715671478.956616,2813934.000,1941,2,RD,1,100,TU
