LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1715670986.693953,2344344,55824,1,BI,1,100,1070
1715670987.781021,2345381,55997,1,BI,1,100,1080
1715670988.883814,2346433,56171,1,BI,1,100,1090
1715670989.913226,2347415,56314,1,BI,1,100,1030
1715670991.076819,2348525,56503,1,BI,1,100,1150
1715670992.142922,2349542,56676,1,BI,1,100,1060
1715670993.271921,2350619,56850,1,BI,1,100,1120
1715670994.401969,2351697,57032,1,BI,1,100,1130
1715670995.475410,2352721,57194,1,BI,1,100,1060
1715670996.605458,2353799,57367,1,BI,1,100,1130
1715670997.696719,2354840,57519,1,BI,1,100,1080
1715670998.846684,2355937,57710,1,BI,1,100,1150
1715670999.942139,2356982,57882,1,BI,1,100,1090
1715671000.954779,2357948,58011,1,BI,1,100,1000
1715671002.040799,2358984,58180,1,BI,1,100,1080
1715671003.012556,2359911,58333,1,BI,1,100,960
1715671003.916175,2360773,58473,1,BI,1,100,900
1715671004.924622,2361735,58628,1,BI,1,100,1010
1715671006.062008,2362820,58799,1,BI,1,100,1130
1715671007.066262,2363778,58940,1,BI,1,100,1000
1715671008.248724,2364906,59127,1,BI,1,100,1170
1715671009.302247,2365911,59282,1,BI,1,100,1050
1715671010.450116,2367006,59472,1,BI,1,100,1140
1715671011.579115,2368083,59568,1,BI,1,100,1120
1715671012.688197,2369141,59694,1,BI,1,100,1110
1715671013.795183,2370197,59866,1,BI,1,100,1100
1715671014.943052,2371292,60054,1,BI,1,100,1140
1715671015.974561,2372276,60212,1,BI,1,100,1030
1715671017.040663,2373293,60372,1,BI,1,100,1060
1715671018.138215,2374340,60544,1,BI,1,100,1090
1715671019.210607,2375363,60716,1,BI,1,100,1070
1715671020.289289,2376392,60885,1,BI,1,100,1070
1715671021.372164,2377425,61057,1,BI,1,100,1070
1715671022.356501,2378364,61215,1,BI,1,100,980
1715671023.408976,2379368,61387,1,BI,1,100,1050
1715671024.492899,2380402,61559,1,BI,1,100,1080
1715671025.485622,2381349,61712,1,BI,1,100,980
1715671026.496166,2382313,61884,1,BI,1,100,1010
1715671027.320115,2383099,62007,1,BI,1,100,820
1715671028.109471,2383852,62134,1,BI,1,100,790
1715671029.159850,2384854,62303,1,BI,1,100,1040
1715671030.285704,2385928,62477,1,BI,1,100,1120
1715671031.328745,2386923,62632,1,BI,1,100,1030
1715671032.469275,2388011,62822,1,BI,1,100,1140
1715671033.496592,2388991,62983,1,BI,1,100,1030
1715671034.478832,2389928,63138,1,BI,1,100,970
1715671035.614121,2391011,63307,1,BI,1,100,1130
1715671036.648775,2391998,63479,1,BI,1,100,1030
1715671037.659319,2392962,63633,1,BI,1,100,1000
1715671038.792511,2394043,63812,1,BI,1,100,1130
1715671040.013760,2395208,64001,1,BI,1,100,1220
1715671041.083007,2396228,64171,1,BI,1,100,1070
1715671042.209910,2397303,64359,1,BI,1,100,1120
1715671043.298027,2398341,64539,1,BI,1,100,1090
1715671044.367274,2399361,64695,1,BI,1,100,1050
1715671045.455391,2400399,64864,1,BI,1,100,1080
1715671046.551893,2401445,65036,1,BI,1,100,1090
1715671047.605417,2402450,65208,1,BI,1,100,1050
1715671048.682002,2403477,65384,1,BI,1,100,1070
1715671049.713511,2404461,65525,1,BI,1,100,1020
1715671050.669544,2405373,142,1,BI,1,100,960
1715671051.704199,2406360,314,1,BI,1,100,1030
1715671052.727322,2407336,484,1,BI,1,100,1020
1715671053.808100,2408367,658,1,BI,1,100,1070
1715671054.880492,2409390,820,1,BI,1,100,1070
1715671055.913050,2410375,975,1,BI,1,100,1020
1715671056.987539,2411400,1162,1,BI,1,100,1080
1715671058.102911,2412464,1336,1,BI,1,100,1110
1715671059.124986,2413439,1505,1,BI,1,100,1010
1715671060.236164,2414499,1682,1,BI,1,100,1110
1715671061.302267,2415516,1854,1,BI,1,100,1060
1715671062.301280,2416469,2010,1,BI,1,100,990
1715671063.450197,2417565,2181,1,BI,1,100,1140
1715671064.399940,2418471,2337,1,BI,1,100,950
1715671065.433546,2419457,2511,1,BI,1,100,1030
1715671066.367565,2420348,2668,1,BI,1,100,930
1715671067.429474,2421361,2836,1,BI,1,100,1060
1715671068.545894,2422426,3011,1,BI,1,100,1100
1715671069.577404,2423410,3183,1,BI,1,100,1030
1715671070.736804,2424516,3361,1,BI,1,100,1160
1715671071.829113,2425558,3527,1,BI,1,100,1080
1715671072.938195,2426616,3718,1,BI,1,100,1110
