LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1715670615.479537,1990227.000,63279,1,TH,1,100,35.978
1715670615.610573,1990352.000,63311,1,TH,1,100,35.953
1715670615.744753,1990480.000,63328,1,TH,1,100,35.953
1715670615.877885,1990607.000,63344,1,TH,1,100,35.994
1715670616.013113,1990736.000,63362,1,TH,1,100,35.994
1715670616.147293,1990864.000,63393,1,TH,1,100,36.047
1715670616.280425,1990991.000,63410,1,TH,1,100,36.040
1715670616.413557,1991118.000,63427,1,TH,1,100,36.051
1715670616.545640,1991244.000,63445,1,TH,1,100,36.051
1715670616.676675,1991369.000,63477,1,TH,1,100,36.054
1715670616.810855,1991497.000,63494,1,TH,1,100,36.054
1715670616.943987,1991624.000,63510,1,TH,1,100,36.003
1715670617.078167,1991752.000,63528,1,TH,1,100,36.010
1715670617.211299,1991879.000,63559,1,TH,1,100,35.987
1715670617.345479,1992007.000,63578,1,TH,1,100,35.987
1715670617.480707,1992136.000,63595,1,TH,1,100,35.978
1715670617.612791,1992262.000,63611,1,TH,1,100,35.971
1715670617.744874,1992388.000,63629,1,TH,1,100,36.083
1715670617.878006,1992515.000,63660,1,TH,1,100,36.091
1715670618.011138,1992642.000,63677,1,TH,1,100,35.966
1715670618.144270,1992769.000,63694,1,TH,1,100,35.959
1715670618.279498,1992898.000,63710,1,TH,1,100,35.953
1715670618.411582,1993024.000,63742,1,TH,1,100,35.960
1715670618.545762,1993152.000,63761,1,TH,1,100,36.020
1715670618.678894,1993279.000,63778,1,TH,1,100,36.020
1715670618.809929,1993404.000,63797,1,TH,1,100,36.047
1715670618.940964,1993529.000,63829,1,TH,1,100,36.047
1715670619.075144,1993657.000,63845,1,TH,1,100,36.008
1715670619.208276,1993784.000,63862,1,TH,1,100,36.008
1715670619.343504,1993913.000,63879,1,TH,1,100,36.001
1715670619.477684,1994041.000,63912,1,TH,1,100,36.001
1715670619.610816,1994168.000,63930,1,TH,1,100,36.006
1715670619.743948,1994295.000,63946,1,TH,1,100,36.006
1715670619.876031,1994421.000,63963,1,TH,1,100,36.026
1715670620.007067,1994546.000,63995,1,TH,1,100,36.026
1715670620.141247,1994674.000,64011,1,TH,1,100,36.068
1715670620.274379,1994801.000,64028,1,TH,1,100,36.068
1715670620.408559,1994929.000,64045,1,TH,1,100,35.978
1715670620.541690,1995056.000,64078,1,TH,1,100,35.978
1715670620.675870,1995184.000,64096,1,TH,1,100,35.978
1715670620.811099,1995313.000,64112,1,TH,1,100,35.978
1715670620.943182,1995439.000,64129,1,TH,1,100,35.925
1715670621.075266,1995565.000,64161,1,TH,1,100,35.925
1715670621.207349,1995691.000,64177,1,TH,1,100,36.036
1715670621.340481,1995818.000,64195,1,TH,1,100,36.036
1715670621.473613,1995945.000,64211,1,TH,1,100,36.033
1715670621.608841,1996074.000,64245,1,TH,1,100,36.033
1715670621.740925,1996200.000,64261,1,TH,1,100,36.036
1715670621.875105,1996328.000,64277,1,TH,1,100,36.036
1715670622.008237,1996455.000,64295,1,TH,1,100,35.978
1715670622.139272,1996580.000,64311,1,TH,1,100,35.978
1715670622.270307,1996705.000,64328,1,TH,1,100,36.027
1715670622.404487,1996833.000,64360,1,TH,1,100,36.027
1715670622.537619,1996960.000,64376,1,TH,1,100,36.047
1715670622.672847,1997089.000,64396,1,TH,1,100,36.047
1715670622.807027,1997217.000,64412,1,TH,1,100,35.990
1715670622.940159,1997344.000,64444,1,TH,1,100,35.990
1715670623.074339,1997472.000,64461,1,TH,1,100,36.033
1715670623.206423,1997598.000,64477,1,TH,1,100,36.033
1715670623.337458,1997723.000,64509,1,TH,1,100,35.997
1715670623.470590,1997850.000,64526,1,TH,1,100,35.997
1715670623.603722,1997977.000,64542,1,TH,1,100,36.029
1715670623.737902,1998105.000,64564,1,TH,1,100,36.029
1715670623.871558,1998232.500,64582,2,TH,1,100,36.061
1715670624.005213,1998360.000,64582,2,TH,1,100,36.061
1715670624.138695,1998487.333,64600,3,TH,1,100,36.033
1715670624.272176,1998614.667,64600,3,TH,1,100,36.033
1715670624.405657,1998742.000,64600,3,TH,1,100,36.029
1715670624.535644,1998866.000,64617,1,TH,1,100,36.029
1715670624.668776,1998993.000,64635,1,TH,1,100,36.024
