LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1715670705.513319,2076114.000,11736,1,SF,1,100,0.0002
1715670705.845624,2076431.000,11786,1,SF,1,100,0.0002
1715670706.242923,2076810.000,11851,1,SF,1,100,0.0002
1715670706.576277,2077128.000,11902,1,SF,1,100,0.0002
1715670706.910678,2077447.000,11952,1,SF,1,100,0.0002
1715670707.240887,2077762.000,12001,1,SF,1,100,0.0001
1715670707.509247,2078018.000,12053,1,SF,1,100,0.0001
1715670707.843649,2078337.000,12102,1,SF,1,100,0.0001
1715670708.172810,2078651.000,12150,1,SF,1,100,0.0001
1715670708.506163,2078969.000,12201,1,SF,1,100,0.0001
1715670708.907655,2079352.000,12270,1,SF,1,100,0.0001
1715670709.238912,2079668.000,12318,1,SF,1,100,0.0001
1715670709.570169,2079984.000,12371,1,SF,1,100,0.0001
1715670709.837481,2080239.000,12419,1,SF,1,100,0.0001
1715670710.168738,2080555.000,12469,1,SF,1,100,0.0001
1715670710.501044,2080872.000,12518,1,SF,1,100,0.0001
1715670710.835445,2081191.000,12570,1,SF,1,100,0.0001
1715670711.168799,2081509.000,12618,1,SF,1,100,0.0001
1715670711.497960,2081823.000,12667,1,SF,1,100,0.0001
1715670711.833410,2082143.000,12719,1,SF,1,100,0.0001
1715670712.234902,2082526.000,12784,1,SF,1,100,0.0001
1715670712.566159,2082842.000,12834,1,SF,1,100,0.0001
1715670712.898464,2083159.000,12885,1,SF,1,100,0.0001
1715670713.231818,2083477.000,12934,1,SF,1,100,0.0001
1715670713.497033,2083730.000,12984,1,SF,1,100,0.0001
1715670713.827242,2084045.000,13037,1,SF,1,100,0.0001
1715670714.161644,2084364.000,13085,1,SF,1,100,0.0001
1715670714.494997,2084682.000,13136,1,SF,1,100,0.0001
1715670714.823110,2084995.000,13184,1,SF,1,100,0.0001
1715670715.225650,2085379.000,13251,1,SF,1,100,0.0001
1715670715.560052,2085698.000,13302,1,SF,1,100,0.0001
1715670715.825267,2085951.000,13350,1,SF,1,100,0.0001
1715670716.157572,2086268.000,13403,1,SF,1,100,0.0001
1715670716.493022,2086588.000,13451,1,SF,1,100,0.0001
1715670716.824280,2086904.000,13500,1,SF,1,100,0.0001
1715670717.155537,2087220.000,13552,1,SF,1,100,0.0001
1715670717.489938,2087539.000,13601,1,SF,1,100,0.0001
1715670717.888286,2087919.000,13666,1,SF,1,100,0.0001
1715670718.218494,2088234.000,13718,1,SF,1,100,0.0001
1715670718.486855,2088490.000,13767,1,SF,1,100,0.0001
1715670718.820208,2088808.000,13819,1,SF,1,100,0.0001
1715670719.151465,2089124.000,13868,1,SF,1,100,0.0001
1715670719.484819,2089442.000,13919,1,SF,1,100,0.0001
1715670719.820269,2089762.000,13969,1,SF,1,100,0.0001
1715670720.151526,2090078.000,14017,1,SF,1,100,0.0001
1715670720.550921,2090459.000,14084,1,SF,1,100,0.0001
1715670720.885323,2090778.000,14135,1,SF,1,100,0.0001
1715670721.152635,2091033.000,14183,1,SF,1,100,0.0001
1715670721.479699,2091345.000,14236,1,SF,1,100,0.0001
1715670721.816198,2091666.000,14284,1,SF,1,100,0.0001
1715670722.149551,2091984.000,14333,1,SF,1,100,0.0001
1715670722.478712,2092298.000,14383,1,SF,1,100,0.0001
1715670722.812065,2092616.000,14434,1,SF,1,100,0.0001
1715670723.212509,2092998.000,14499,1,SF,1,100,0.0001
1715670723.543766,2093314.000,14551,1,SF,1,100,0.0001
1715670723.812126,2093570.000,14602,1,SF,1,100,0.0001
1715670724.147576,2093890.000,14652,1,SF,1,100,0.0001
1715670724.480930,2094208.000,14701,1,SF,1,100,0.0001
1715670724.810091,2094522.000,14749,1,SF,1,100,0.0001
1715670725.212631,2094906.000,14817,1,SF,1,100,0.0001
1715670725.545984,2095224.000,14867,1,SF,1,100,0.0001
1715670725.875145,2095538.000,14915,1,SF,1,100,0.0001
1715670726.142457,2095793.000,14968,1,SF,1,100,0.0001
1715670726.477907,2096113.000,15016,1,SF,1,100,0.0001
1715670726.806019,2096426.000,15065,1,SF,1,100,0.0001
